CO_HEI;HEI;Ownership;STUDENTS;ST_RESEARCH_GRANT;ST_COMPLETING;PUB_SC;PATENTS_UM;ST_DROPOUT;FACULTY;AGE;PHD;MA;PRES;GRAD;RESEARCH;FTE;FTNE;PART;HOUR;TEC;TEC_SUP;TEC_SPEC;TEC_MA;TEC_PHD;PORTAL_CAPES;VIRT_JOURNAL;VIRT_BOOK;VL_RECEITA_PROPRIA;VL_RECEITA_TRANSFERENCIA;VL_RECEITA_OUTRA;VL_RECEITA_TOTAL;VL_DESPESA_PESSOAL_DOCENTE;VL_DESPESA_PESSOAL_TECNICO;VL_DESPESA_PESSOAL_ENCARGO;VL_DESPESA_CUSTEIO;VL_DESPESA_INVESTIMENTO;VL_DESPESA_PESQUISA;VL_DESPESA_OUTRA;VL_DESPESA_TOTAL
1930;ISESP;Private;795;0;161;0;0;130;36;45;9;23;35;1;16;1;3;22;9;42;19;8;5;3;0;3;1905;13809236,13;0;6443662,22;20252898,35;3601191,29;2380806,88;2802510,34;2898471,34;528129,72;0;6085609,18;18296718,75
1940;FANS;Private;367;1;67;0;0;24;30;44;1;20;30;1;0;1;0;21;8;20;2;7;6;0;1;0;0;2834192,2;0;209974;3044166,2;1138629,41;405638,36;561456,96;66744,14;0;0;524399,09;2696867,96
1962;ISECENSA;Private;123;0;19;2;0;4;19;51,1;4;8;19;0;3;1;2;5;11;76;21;11;7;7;0;0;0;592576,82;0;0;592576,82;476741,75;48175,6;48382,84;0;0;0;3174,56;576474,75
2015;ISTA;Private;282;0;50;0;0;8;37;53,5;18;18;36;1;5;0;1;2;33;11;3;2;4;1;0;57;11;3013128,27;0;327307,73;3340436;960878,64;288263,59;1083657,42;375828,11;12000;8000;0;2728627,76
2096;FCM;Private;995;0;132;0;0;194;27;41,2;10;13;27;0;0;0;1;26;0;20;3;3;0;0;0;426;0;215650621;0;1220914,61;216871535,6;38790606,06;24514522,51;13766709,19;38013251,41;3130164;0;89691158,28;207906411,5
2397;FACULDADE FUCAPE;Private;427;0;48;21;0;67;37;43;32;5;29;34;16;29;2;1;5;102;32;1;8;24;1;38900;8000;13520451,9;0;388756,42;13909208,32;3764873,43;2185930,9;3416230,93;1242727,4;298527,69;2629667,64;313163,63;13851121,62
2571;FACREDENTOR;Private;5675;0;457;0;0;338;261;39,9;49;102;241;16;53;0;33;212;0;620;193;106;82;28;0;2300;11223;109307428,8;0;6067563,11;115374991,9;25556198,98;3033843,35;12238030,3;19502560,6;6654879,43;11628138,57;34025405,4;112639056,6
2617;FSB/RJ;Private;307;0;15;0;0;159;23;51;15;8;23;0;7;4;0;3;16;8;4;1;0;0;1;0;0;1439281,18;0;0;1439281,18;710787,08;170344,14;465016,75;0;0;0;6757,65;1352905,62
2744;ISE VERA CRUZ;Private;47;0;3;0;0;10;13;48,6;6;6;13;0;1;0;1;3;9;7;3;2;1;0;0;0;0;2756498;0;18291;2774789;1424209;550263;758451;1066048;44041;183610;69169;4095791
2774;FAFIBE;Private;4538;38;666;8;0;964;177;39,5;40;109;175;1;87;0;30;113;33;86;30;25;3;2;1;0;1;37937921,13;0;2670081,45;40608002,58;8666903,74;3475181,77;9064463,79;3547420,56;3290620,23;179126,99;5760,22;28229477,3
2811;FAPCOM;Private;1372;0;206;0;0;281;69;46;25;37;63;0;23;5;8;30;26;39;17;7;0;0;0;59;38;11060937,92;0;7574564,77;18635502,69;5718464,95;2459925,61;1709551;4407361,84;139280;125072,55;323800,8;14883456,75
2849;ESDHC;Private;3309;0;382;18;0;334;109;43,6;40;67;106;19;37;5;27;47;27;390;147;10;93;80;0;1457;7812;46248742,71;54650,24;2190544,28;48493937,23;8125188,22;10089279,17;8794500,26;11634122,15;3944355,7;3425118,48;6187173,25;52199737,23
3163;IFRJ;Public;4481;100;246;2;1;647;704;41,7;360;308;510;45;233;621;69;12;0;882;210;304;132;22;1;0;0;415535391;0;4035197,77;419570588,8;223468703,1;0;68919384,54;52221725,83;5904703,06;821552,11;10528662,85;361864731,5
3308;FTT;Private;1149;12;9;2;0;55;54;46,5;18;36;53;0;6;0;5;12;37;82;35;21;1;0;0;72;0;0;0;369394478;369394478;5600072;1762202;4917175;3288651;211538;143737;3549680;19473055
3368;UNIS-MG;Private;4024;20;579;2;0;553;231;41,4;39;105;197;0;24;0;57;74;100;398;116;53;45;11;1;0;7683;74042472,65;0;5391897,84;79434370,49;23912538,5;11474249,3;8481393,21;21319269,22;978829,81;1415261,26;12342325,63;79923866,93
3430;FAESSA;Private;571;0;45;0;0;164;36;42,4;10;17;36;0;0;0;2;33;1;42;12;3;7;2;0;10500;2014;9482349,46;0;60029,54;9542379;714253,76;574468,92;803866,46;690360,32;0;425904,52;372769,43;3581623,41
3522;FACAPA;Private;104;0;16;0;0;15;25;46,8;7;16;23;2;15;3;0;5;15;10;2;1;1;0;0;1;0;1194109,41;0;48744,76;1242854,17;384593,65;278906,8;190817,39;147454,43;0;28466,41;150221,29;1180459,97
3529;UNIVEM;Private;2027;10;378;2;0;228;108;44,4;22;54;95;12;32;0;20;36;50;86;32;31;2;3;1;45000;11000;30477808,64;364758,26;2018913,78;32861480,68;6749774,99;4354761,58;5403344,82;200326,46;1034893,42;245214,31;14763596,72;32751912,3
3710;ESNS;Private;218;0;45;0;0;18;23;54,5;7;11;23;0;0;0;0;9;14;12;1;8;1;0;1;9;8500;2610637,56;2658572,44;0;5269210;2444423,65;290962,04;1174390,81;1041883,98;1874,55;0;315674,97;5269210
3770;FTBSP;Private;252;0;40;0;0;36;17;53,3;8;9;17;0;0;4;0;0;13;11;6;1;0;0;0;8;48;1900459,96;0;638406,38;2538866,34;574647,81;586808,72;553705,64;449564,54;21991,35;0;128443,94;2315162
3955;FIC;Private;552;4;84;0;0;66;45;44,6;7;15;45;0;4;0;4;18;23;23;6;4;4;0;1;0;7683;74042472,65;0;5391897,84;79434370,49;23912538,5;11474249,3;8481393,21;21319269,22;978829,81;1415261,26;12342325,63;79923866,93
4358;IF SUL DE MINAS;Public;4385;178;477;0;6;526;471;40,3;246;191;445;24;199;377;66;3;6;571;105;270;128;9;1;0;8000;3755505,8;291699473;167405,79;295622384,5;85542732,63;39130725,06;28518100,38;71118069,74;14832352,51;1182238,94;0;240324219,3
4522;UNISALESIANO;Private;8980;56;1029;3;0;194;263;44,9;80;143;255;18;86;28;51;155;21;251;51;27;5;2;0;2700;16000;55085163,47;355355,66;3295907,82;58736426,95;20871836,46;5898565,86;9235394,47;8469417,51;9189874,28;301302,22;2522941,27;56489332,07
4925;UFABC;Public;15888;251;1907;639;6;1720;817;44,7;817;0;796;481;287;808;0;0;0;726;212;324;108;12;1;0;44655;1408790,15;317544577,1;781194,7;319734561,9;120865251,5;46766568,15;76436411,23;46727964,36;20322574,18;9533421,46;239555742,9;560207933,7
4943;SRONG/Santos;Private;224;0;24;0;0;0;25;48,4;12;12;24;1;4;2;2;10;10;5;5;0;0;0;0;950;12000;12288661,43;0;146794,47;12435455,9;3263179,08;1460285,58;1988801,97;2321123,2;0;0;2865622,99;11899012,82
5013;UEZO;Public;1065;13;93;25;0;164;107;45;107;0;104;35;105;0;107;0;0;66;31;4;6;2;0;0;0;1;0;0;1;8026631,37;1089551,03;3312413,81;2623133,52;124719,9;2267857,74;650479,4;18094786,77
5048;FATIPI;Private;60;0;16;0;0;3;11;57,1;6;5;11;0;0;0;1;6;4;9;5;1;1;1;0;0;0;149410,68;1530000,05;476943,59;2156354,32;784230,46;271259,08;590482,74;461557,83;12488,72;20825,49;0;2140844,32
5215;CENTRO UNIVERSITÁRIO PADRE ALBINO;Private;2138;35;411;0;0;174;178;50,4;58;63;148;1;45;0;47;110;20;76;34;16;1;1;1;0;2;44110631,35;0;3014622,04;47125253,39;13931760,62;4628158,43;0;13440701,83;708335,26;0;0;32708956,14
5276;DOCTUM;Private;355;0;51;0;0;34;9;43,9;5;3;9;0;0;0;1;8;0;9;5;0;0;0;0;426;0;215650621;0;1220914,61;216871535,6;38790606,06;24514522,51;13766709,19;38013251,41;3130164;0;89691158,28;207906411,5
5313;FUC;Private;256;3;13;0;0;62;19;38,5;5;7;19;0;2;0;0;19;0;7;1;2;0;0;0;426;0;215650621;0;1220914,61;216871535,6;38790606,06;24514522,51;13766709,19;38013251,41;3130464;0;89691158,28;207906711,5
5314;DOCTUM;Private;645;0;130;0;0;88;23;47,6;8;14;23;0;0;0;1;22;0;20;4;9;1;0;0;426;0;215650621;0;1220914,61;216871535,6;38790606,06;24514522,51;13766709,19;38013251,41;3130164;0;89691158,28;207906411,5
5316;FUL;Private;478;0;60;0;0;65;16;44,7;6;7;16;0;1;0;2;14;0;18;5;1;4;0;0;426;0;215650621;0;1220914,61;216871535,6;38790606,06;24514522,51;13766709,19;38013251,41;3130164;0;89691158,28;207906411,5
5394;FENORD;Private;360;3;53;0;0;48;23;42,2;0;19;23;0;7;2;0;17;4;35;6;5;0;0;0;88;0;4379421,46;0;112157,74;4491579,2;1046201,57;921171,26;1463596,96;507090,76;37907,65;310902,68;0;4286870,88
10385;ITESP;Private;177;0;26;3;0;2;32;58,6;25;7;32;0;0;0;0;0;32;8;2;0;0;0;0;0;0;1425149,8;0;804464,3;2229614,1;632319,72;471329,66;273078,1;569843,13;9530,14;0;79072,27;2035173,02
11289;ESNS-SP;Private;270;0;17;0;0;17;22;53,6;6;11;21;1;1;0;2;11;8;10;6;3;0;0;1;9;8500;3193641,76;2856771,55;0;6050413,31;2531857,77;274678,41;1375345,27;1578608,73;1874,55;0;288048,58;6050413,31
13481;FRB-GV;Private;222;0;21;0;0;15;39;47,6;19;17;39;0;0;0;3;30;6;3;2;0;0;0;0;90;25;1155447,44;0;38015,07;1193462,51;747615,94;216749,57;555806,03;724019,16;0;0;201806,35;2445997,05
14115;Faculdade Presidente Antônio Carlos de Ponte Nova;Private;444;0;59;0;0;60;29;47;4;13;28;1;28;0;6;15;7;17;3;5;2;2;1;5378;7890;4713262,36;0;80267,65;4793530,01;779860,6;519907,07;396682,25;2551812;9496,77;0;7521,28;4265279,97
14165;FATEP;Private;432;0;90;0;0;22;40;39,3;8;16;40;0;0;0;8;18;14;23;5;1;0;0;1;77;7683;74042472,65;0;5391897,84;79434370,49;23912538,5;11474249,3;8481393,21;21319269,22;978829,81;1415261,26;12342325,63;79923866,93
14342;FACREDENTOR/Campos;Private;1048;0;71;0;0;129;81;37,7;20;43;81;0;1;0;5;76;0;107;18;21;46;16;0;2300;11223;109307428,8;0;6067563,11;115374991,9;25556198,98;3033843,35;12238030,3;19502560,6;6654879,43;11628138,57;34025405,4;112639056,6
15401;FIPECAFI;Private;245;0;48;1;0;37;33;41,7;10;23;26;7;8;0;9;24;0;147;77;6;35;7;1;29;8341;31880677,52;0;341578,55;32222256,07;2525467,13;4626089,08;3311355,91;14764064,01;262132,2;0;6478116,42;31967224,75
15452;CENTRO UNIVERSITÁRIO UMA DE BOM DESPACHO;Private;6766;3;741;29;0;1109;198;38,3;50;86;157;0;0;0;50;63;85;213;24;38;41;6;0;179324;94527;70368590,79;0;1050102,69;71418693,48;9954173,24;9109438,7;6536751,48;12710402,04;2668902,53;0;27646561,85;68626229,84
15859;FACAP;Private;609;0;119;0;0;66;39;37,4;9;21;36;0;0;5;0;19;15;60;10;16;22;10;1;900;8000;0;0;35953,55;35953,55;578143,26;445577,25;522097,46;5998875,62;0;0;0;7544693,59
16864;FCI;Private;186;0;5;0;0;3;8;46,5;3;5;8;0;4;4;0;3;1;4;2;1;0;0;0;134;230;1370431,27;0;5709,29;1376140,56;833829,52;491377,95;978118,5;889768,25;0;0;208698,39;3401792,61
