CO_HEI;HEI;Ownership;STUDENTS;ST_RESEARCH_GRANT;ST_COMPLETING;PUB_SC;PATENTS_UM;ST_DROPOUT;FACULTY;AGE;PHD;MA;PRES;GRAD;RESEARCH;FTE;FTNE;PART;HOUR;TEC;TEC_SUP;TEC_SPEC;TEC_MA;TEC_PHD;PORTAL_CAPES;VIRT_JOURNAL;VIRT_BOOK;VL_RECEITA_PROPRIA;VL_RECEITA_TRANSFERENCIA;VL_RECEITA_OUTRA;VL_RECEITA_TOTAL;VL_DESPESA_PESSOAL_DOCENTE;VL_DESPESA_PESSOAL_TECNICO;VL_DESPESA_PESSOAL_ENCARGO;VL_DESPESA_CUSTEIO;VL_DESPESA_INVESTIMENTO;VL_DESPESA_PESQUISA;VL_DESPESA_OUTRA;VL_DESPESA_TOTAL
338;PUC MINAS;Private;50472;391;6551;225;7;5592;2277;49,4;916;1173;2131;366;878;0;631;850;686;2990;831;253;48;5;1;35724;19598;665975403,7;0;17816208,04;683791611,8;287193569,3;79264918,3;146343457,2;133384624,1;12288368,24;0;0;658474937,1
361;FAPSS;Private;205;0;29;0;0;11;17;51,9;7;8;17;0;0;3;1;1;12;21;9;1;0;0;0;0;7800;1251303,79;198679,64;1118583,87;2568567,3;825554,5;156247,61;268805,55;287946,97;0;5000;21545;1565099,63
373;ESP;Private;439;0;77;0;0;65;18;49,3;17;1;18;16;0;0;0;0;18;29;14;9;0;0;0;67;259;3067489,37;3907399,28;67549,26;7042437,91;1847749,9;730947,38;1684193,88;0;71246,49;33676,16;2674624,09;7042437,9
415;FMCMSCSP;Private;1079;37;155;1;0;41;403;53,7;299;75;402;78;105;0;73;328;2;278;64;40;8;6;1;57441;8424;68038645,53;516992,22;18302524,5;86858162,25;20731158,2;11821484,96;21552914,41;23508321,58;920109,29;773112,34;428241,22;79735342
431;FAMEMA;Public;642;12;122;34;0;8;264;54,8;107;63;263;26;72;55;66;142;0;2207;611;125;16;1;1;0;0;8098917,29;35373840,76;0;43472758,05;24973474,91;5816866,74;3226297,02;8305010,18;1097442,2;0;0;43419091,05
489;UNIFOA;Private;6956;132;1034;11;0;798;391;49,4;163;190;377;34;194;0;113;253;14;402;150;41;10;0;1;2091;8757;106163611,2;0;888724,75;107052336;34398245,47;20629928,54;21871496,53;0;0;0;24026785,76;100926456,3
490;CESVA;Private;3231;0;342;0;0;362;153;45,6;47;89;147;0;37;0;89;64;0;204;68;9;2;1;0;1226;8000;86792558,21;40941507,09;2698372,55;130432437,9;28536479,81;27318356,09;20294483,03;27153590,67;2435039,77;6209464,37;9338641,54;121286055,3
501;EMESCAM;Private;1737;95;234;20;0;86;212;51,1;58;115;212;13;100;19;9;179;5;110;34;7;1;2;1;686;11506;73747154,71;0;14492135,2;88239289,91;23929544,75;4213975,35;6942425,59;6668997,2;0;0;29966172,64;71721115,53
528;PUC-Rio;Private;16444;450;2243;517;2;1182;1327;52,7;872;323;1202;470;487;0;485;103;697;1926;595;119;176;94;1;45000;300000;456133705;0;175229801;631363506;185056598;102440281;88916773;266996219;9065118;0;14587909;667062898
546;PUCSP;Private;15218;380;2179;228;0;1118;1411;58,4;988;341;1138;520;966;0;382;818;140;1032;448;129;49;10;1;42;9348;480494324,8;0;42568670,65;523062995,5;175293642;78645241,69;76418515,97;37053797,27;9403733,6;6638745,19;103823310,5;487276986,2
547;UERJ;Public;33208;0;3291;1822;2;4552;2799;51,2;2233;439;2426;1459;2169;1627;680;201;77;2667;1284;1;3;4;1;0;30129;34966733;1645050718;34363154;1714380605;387800912;467705181;290321446;411065044;52175411;28502008;64365858;1701935860
572;UFF;Public;46705;357;4568;1938;12;5583;3543;48,4;2887;528;3297;1312;2171;2700;312;351;0;4662;1915;528;458;95;1;3881;0;11452247,76;2392402677;10234086,66;2414089011;914739510,3;0;228057727,9;460952874,9;30237164,82;881992,3;0;1634869270
573;UFES;Public;24583;509;2806;1122;17;1937;1916;45,8;1530;295;1780;803;1290;1513;202;99;0;1928;361;794;372;46;1;26273;1858;22528384;1095853541;110937524;1229319449;458327795;330071288;137035165,1;200231338;92896754;4253105,43;6504003,43;1229319449
574;UFRRJ;Public;17959;0;1449;598;0;2160;933;50,4;807;106;777;440;440;875;9;25;0;1193;240;297;119;32;1;319;1899;2980251,61;720620416;10000589,61;733601257,2;1;1;594031242,8;70499459;13720348,02;924627,33;0;679175679,2
575;UFMG;Public;35814;942;5096;3936;62;2900;3593;48,2;3153;346;3514;1882;3078;2645;393;512;0;4367;1003;1780;541;151;1;157;788;30944818,02;2183425521;5613492,82;2219983832;578843284;388636716;258040000;429370000;32620000;7503553,79;812187697,9;2507201252
576;UFJF;Public;20353;1163;2476;1001;9;1992;1788;44,9;1320;336;1632;734;1221;1325;229;135;0;1276;281;438;307;35;1;632;16266;142194657,9;860735309,3;283778624;1286708591;266383511,8;97603860,51;121824963,9;79041429,42;27404333,15;67639987,09;108361252,1;768259338
586;UFRJ;Public;50519;645;5114;4300;12;4921;4197;50,6;3640;450;3078;2144;3731;3051;240;187;0;14581;3810;2762;1467;511;1;48133;30753;54890840,44;3744205541;217147563,8;4016243945;836523686,5;1038657126;459415744,6;722379318;21983054,56;7443470,26;929841545,2;4016243945
591;UNIFESP;Public;12095;48;1804;3081;4;1151;1697;49;1650;39;1514;1068;1079;1224;415;44;0;1828;333;593;294;251;1;45000;33178;9330903,46;773126275,8;0;782457179,3;460708343;0;129524360,3;161012093,9;28442404,64;2769977,47;0;782457179,3
592;UFLA;Public;11111;713;1094;989;11;657;827;43,4;723;73;784;316;620;714;93;4;0;586;235;130;111;35;1;0;17903;5945746,98;381258011,8;681787,82;387885546,6;189792253,6;0;50179833,1;72487088,83;50476843,75;0;0;362936019,3
593;CEFET/RJ;Public;7879;206;479;141;0;1457;641;43;310;287;557;85;87;582;38;20;0;570;116;244;114;8;1;0;0;2016424,26;417506345;3776697,28;423299466,5;200862631,3;0;60222254,26;38144429,35;9972940,95;915545,63;104224800,6;414342602,1
594;CEFET/MG;Public;5949;226;590;0;6;944;883;42;456;390;644;226;357;679;111;9;0;728;153;284;164;20;1;50000;100000;6378866;452692288;6842160;465913314;171732478,4;73599633,6;57895660;58343236;8728473;4505719;91108114;465913314
595;UNIFAL-MG;Public;6983;377;786;270;1;576;546;42,7;452;59;505;213;202;449;50;22;0;334;42;148;99;21;1;7;7;1342735,62;227655464,7;98559,59;229096759,9;86990497,46;25567327,69;31862460,61;48289262,41;157724,83;1691613,55;33708222;228267108,6
